t,x,y,yaw
35.768,1.7720,1.7820,-3.1416
35.789,1.7720,1.7820,-3.1416
35.810,1.7720,1.7820,-3.1416
35.831,1.7720,1.7820,-3.1416
35.852,1.7720,1.7820,-3.1416
35.873,1.7720,1.7820,-3.1416
35.894,1.7720,1.7820,-3.1416
35.915,1.7720,1.7820,-3.1416
35.936,1.7720,1.7820,-3.1416
35.957,1.7720,1.7820,-3.1416
35.978,1.7720,1.7820,-3.1416
35.999,1.7720,1.7820,-3.1416
36.020,1.7720,1.7820,-3.1416
36.041,1.7720,1.7820,-3.1416
36.062,1.7720,1.7820,-3.1416
36.083,1.7720,1.7820,-3.1416
36.104,1.7720,1.7820,-3.1416
36.125,1.7720,1.7820,-3.1416
36.146,1.7720,1.7820,-3.1416
36.167,1.7720,1.7820,-3.1416
36.188,1.7720,1.7820,-3.1416
36.209,1.7720,1.7820,-3.1416
36.230,1.7720,1.7820,-3.1416
36.251,1.7720,1.7820,-3.1416
36.272,1.7720,1.7820,-3.1416
36.293,1.7720,1.7820,-3.1416
36.314,1.7720,1.7820,-3.1416
36.335,1.7720,1.7820,-3.1416
36.356,1.7720,1.7820,-3.1416
36.377,1.7699,1.7820,3.1411
36.398,1.7679,1.7820,3.1407
36.419,1.7658,1.7819,3.1402
36.440,1.7637,1.7819,3.1398
36.461,1.7617,1.7819,3.1394
36.482,1.7576,1.7819,3.1391
36.503,1.7535,1.7819,3.1388
36.524,1.7494,1.7818,3.1386
36.545,1.7452,1.7818,3.1383
36.566,1.7411,1.7818,3.1380
36.587,1.7367,1.7818,3.1377
36.608,1.7306,1.7818,3.1374
36.629,1.7245,1.7817,3.1370
36.650,1.7183,1.7817,3.1367
36.671,1.7122,1.7817,3.1363
36.692,1.7060,1.7817,3.1359
36.713,1.6987,1.7817,3.1356
36.734,1.6910,1.7816,3.1354
36.755,1.6832,1.7816,3.1351
36.776,1.6754,1.7816,3.1348
36.797,1.6677,1.7816,3.1346
36.818,1.6599,1.7816,3.1343
36.839,1.6515,1.7816,3.1341
36.860,1.6431,1.7816,3.1339
36.881,1.6347,1.7816,3.1336
36.902,1.6263,1.7816,3.1334
36.923,1.6180,1.7816,3.1332
36.944,1.6096,1.7816,3.1331
36.965,1.6012,1.7816,3.1329
36.986,1.5928,1.7816,3.1328
37.007,1.5844,1.7816,3.1326
37.028,1.5760,1.7816,3.1324
37.049,1.5676,1.7816,3.1323
37.070,1.5592,1.7816,3.1322
37.091,1.5508,1.7816,3.1320
37.112,1.5424,1.7816,3.1318
37.133,1.5341,1.7816,3.1316
37.154,1.5258,1.7816,3.1313
37.175,1.5175,1.7816,3.1311
37.196,1.5093,1.7816,3.1309
37.217,1.5010,1.7816,3.1306
37.238,1.4926,1.7816,3.1304
37.259,1.4842,1.7816,3.1302
37.280,1.4758,1.7816,3.1299
37.301,1.4674,1.7816,3.1297
37.322,1.4592,1.7816,3.1296
37.343,1.4510,1.7816,3.1294
37.364,1.4429,1.7816,3.1292
37.385,1.4347,1.7816,3.1291
37.406,1.4265,1.7816,3.1289
37.427,1.4183,1.7816,3.1287
37.448,1.4100,1.7816,3.1286
37.469,1.4017,1.7816,3.1285
37.490,1.3935,1.7816,3.1283
37.511,1.3851,1.7816,3.1282
37.532,1.3767,1.7816,3.1281
37.553,1.3683,1.7817,3.1281
37.574,1.3599,1.7817,3.1280
37.595,1.3515,1.7817,3.1279
37.616,1.3431,1.7817,3.1278
37.637,1.3347,1.7817,3.1286
37.658,1.3264,1.7818,3.1298
37.679,1.3182,1.7818,3.1309
37.700,1.3099,1.7819,3.1320
37.721,1.3016,1.7819,3.1331
37.742,1.2932,1.7819,3.1343
37.763,1.2848,1.7819,3.1354
37.784,1.2764,1.7819,3.1365
37.805,1.2680,1.7819,3.1376
37.826,1.2596,1.7819,3.1388
37.847,1.2512,1.7819,3.1399
37.868,1.2429,1.7819,3.1411
37.889,1.2346,1.7819,-3.1409
37.910,1.2263,1.7819,-3.1397
37.931,1.2180,1.7819,-3.1384
37.952,1.2097,1.7819,-3.1373
37.973,1.2013,1.7818,-3.1363
37.994,1.1929,1.7818,-3.1352
38.015,1.1845,1.7817,-3.1342
38.036,1.1763,1.7817,-3.1331
38.057,1.1681,1.7817,-3.1320
38.078,1.1599,1.7816,-3.1308
38.099,1.1518,1.7816,-3.1297
38.120,1.1436,1.7816,-3.1286
38.141,1.1354,1.7815,-3.1274
38.162,1.1271,1.7814,-3.1265
38.183,1.1189,1.7813,-3.1255
38.204,1.1106,1.7812,-3.1245
38.225,1.1023,1.7811,-3.1236
38.246,1.0939,1.7810,-3.1237
38.267,1.0855,1.7808,-3.1241
38.288,1.0771,1.7807,-3.1245
38.309,1.0687,1.7805,-3.1249
38.330,1.0603,1.7803,-3.1253
38.351,1.0520,1.7802,-3.1259
38.372,1.0438,1.7800,-3.1265
38.393,1.0355,1.7799,-3.1270
38.414,1.0272,1.7797,-3.1276
38.435,1.0189,1.7796,-3.1282
38.456,1.0105,1.7794,-3.1288
38.477,1.0021,1.7793,-3.1295
38.498,0.9937,1.7791,-3.1301
38.519,0.9854,1.7790,-3.1307
38.540,0.9772,1.7788,-3.1312
38.561,0.9691,1.7787,-3.1317
38.582,0.9609,1.7786,-3.1322
38.603,0.9527,1.7784,-3.1327
38.624,0.9445,1.7783,-3.1332
38.645,0.9362,1.7782,-3.1336
38.666,0.9280,1.7780,-3.1341
38.687,0.9197,1.7779,-3.1346
38.708,0.9114,1.7778,-3.1351
38.729,0.9030,1.7776,-3.1356
38.750,0.8946,1.7775,-3.1362
38.771,0.8862,1.7774,-3.1368
38.792,0.8778,1.7773,-3.1374
38.813,0.8694,1.7771,-3.1379
38.834,0.8611,1.7770,-3.1385
38.855,0.8528,1.7769,-3.1391
38.876,0.8445,1.7768,-3.1396
38.897,0.8362,1.7766,-3.1402
38.918,0.8280,1.7765,-3.1407
38.939,0.8196,1.7764,-3.1412
38.960,0.8112,1.7763,3.1415
38.981,0.8028,1.7762,3.1410
39.002,0.7944,1.7761,3.1405
39.023,0.7860,1.7760,3.1400
39.044,0.7778,1.7759,3.1395
39.065,0.7695,1.7758,3.1390
39.086,0.7612,1.7757,3.1386
39.107,0.7529,1.7756,3.1381
39.128,0.7446,1.7755,3.1376
39.149,0.7362,1.7754,3.1372
39.170,0.7278,1.7753,3.1368
39.191,0.7194,1.7752,3.1364
39.212,0.7110,1.7751,3.1360
39.233,0.7026,1.7750,3.1356
39.254,0.6942,1.7749,3.1352
